,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024
,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
No.,,,,,,,,,,,,,,,,,,
1,DBC,MWG,MWG,HPG,DBC,HPG,HPG,DGC,DGC,BSR,ACV,MCH,BMP,GMD,ACV,MCH,HVN,ACV
2,MWG,VCF,VCF,MCH,DHC,IPA,MWG,MSN,HPG,DGC,DGC,MWG,BSR,MWG,BSR,MWG,MWG,BMP
3,VCF,VNM,VNM,MWG,HPG,MWG,VNM,MWG,VCF,,IDP,VCF,GAS,VCF,VCF,VCF,VCF,MCH
4,VNM,,,VCF,MWG,,,VCF,,,MSN,VEA,HPG,VNM,,VNM,,MWG
5,,,,VEA,VCF,,,,,,MWG,VNM,PDN,,,,,VCF
6,,,,VNM,VEA,,,,,,VCF,,REE,,,,,VNM
7,,,,,,,,,,,VNM,,VCF,,,,,
8,,,,,,,,,,,,,VEA,,,,,
